Source,Target,Action,Mediator,Immune_Process
Eosinophil,Mast,Positive,Eosinophil peroxidase,"['Inflammation', 'nan']"
Eosinophil,Mast,Positive,GMCSF,"['Inflammation', 'nan']"
Eosinophil,Mast,Positive,IL3,"[' Inflammation', ' Type 2', 'Antiparasitic', 'nan']"
Eosinophil,Mast,Positive,IL4,"[' Type 2', 'Antiparasitic']"
Eosinophil,Mast,Positive,IL5,"['Inflammation', 'nan']"
Eosinophil,Mast,Positive,Major basic protein,"[' Inflammation', ' Type 2', 'Antiparasitic', 'Inflammation']"
Eosinophil,Monocyte,Positive,CXCL8,['Inflammation']
Eosinophil,Monocyte,Positive,GMCSF,"['Inflammation', 'nan']"
Eosinophil,Monocyte,Positive,IL16,['nan']
Eosinophil,Monocyte,Positive,IL6,"[' Class switching', ' Tolerance', 'Inflammation', 'T independent B activation/IgA production']"
Eosinophil,Neutrophil,Positive,CXCL8,"[' Angiogenesis', ' Antibacterial', ' Antifungal', ' Complement', ' Inflammation', 'Anti-EC bacteria', 'Inflammation']"
Eosinophil,Neutrophil,Positive,Platelet-Activating Factor,"[' Barrier immunity', 'Vascular permeability increase', 'nan']"
Eosinophil,Neutrophil,Positive,TGFb,"[' Class switching', ' Tolerance', 'T independent B activation/IgA production', 'nan']"
Eosinophil,Platelet,Positive,Platelet-Activating Factor,"[' Barrier immunity', 'Vascular permeability increase', 'nan']"
Eosinophil,Smooth muscle,Positive,Leukotrienes,"[' Barrier immunity', ' Vascular permeability increase', 'Inflammation']"
Eosinophil,Smooth muscle,Positive,Prostaglandins,['Inflammation']
Eosinophil,T_CD4,Negative,TGFb,"[' Class switching', ' Tolerance', 'Immunosuppression', 'T independent B activation/IgA production']"
Eosinophil,T_CD8_memory,Positive,TGFb,"[' Class switching', ' Tolerance', 'T independent B activation/IgA production', 'nan']"
Eosinophil,T_reg,Negative,IL6,"[' Class switching', ' Tolerance', 'T independent B activation/IgA production', 'nan']"
Eosinophil,T_reg,Positive,TGFb,"[' Class switching', ' Tolerance', 'Immunosuppression', 'T independent B activation/IgA production']"
Eosinophil,Th1,Negative,Kynurenine,['Allergic Inflammation']
Eosinophil,Th1,Negative,TGFb,"[' Class switching', ' Tolerance', 'Immunosuppression', 'T independent B activation/IgA production']"
Eosinophil,Th17,Positive,IL6,"[' Class switching', ' Tolerance', 'T independent B activation/IgA production', 'nan']"
Eosinophil,Th2,Negative,TGFb,"[' Class switching', ' Tolerance', 'Immunosuppression', 'T independent B activation/IgA production']"
Eosinophil,Th2,Positive,IL4,"[' Type 2', 'Antiparasitic', 'nan']"
Eosinophil,Th2,Positive,Leukotrienes,"[' Barrier immunity', ' Vascular permeability increase', 'Inflammation', 'nan']"
Eosinophil,Th2,Positive,Prostaglandins,"[' Allergic Inflammation', ' Antiparasitic', ' Inflammation', 'Inflammation', 'Type 2']"
Eosinophil,pDC,Positive,IL6,"[' Antigen presentation', ' Antiviral', ' Class switching', ' Tolerance', 'Antibacterial', 'T independent B activation/IgA production']"
Epithelial,B,Positive,APRIL,"[' Class switching', 'Class switching', 'T independent B activation/IgA production']"
Epithelial,B,Positive,BAFF,"[' Class switching', 'Class switching', 'T independent B activation/IgA production']"
Epithelial,B,Positive,CCL20,"[' Antibacterial', ' Antifungal', 'Anti-EC bacteria']"
Epithelial,B,Positive,CCL25,['nan']
Epithelial,B,Positive,CCL28,['nan']
Epithelial,B,Positive,CCL4,"['Antibacterial', 'nan']"
Epithelial,B,Positive,IL6,"[' Anti-EC bacteria', ' Antibody production', ' Antifungal', ' Inflammation', ' Type 3', 'Antibacterial', 'Antibody production', 'Class switching']"
Epithelial,BM Stromal,Positive,CCL3,"['Antibacterial', 'nan']"
Epithelial,Basophil,Positive,CCL11,"['Inflammation', 'Type 2']"
Epithelial,Basophil,Positive,CCL2,"['Antibacterial', 'Type 2', 'nan']"
Epithelial,Basophil,Positive,CCL3,"[' Type 1', 'Antibacterial', 'Antiviral']"
Epithelial,Basophil,Positive,CCL4,"['Antibacterial', 'nan']"
Epithelial,Basophil,Positive,CCL5,"[' Antibacterial', ' Type 2', 'Inflammation', 'Type 2']"
Epithelial,Basophil,Positive,CXCL8,"[' Angiogenesis', ' Antibacterial', 'Inflammation', 'nan']"
Epithelial,DC,Negative,IL37,['nan']
Epithelial,DC,Positive,CCL2,"['Antibacterial', 'Type 2']"
Epithelial,DC,Positive,CCL20,"[' Antibacterial', ' Antifungal', 'Anti-EC bacteria', 'Antibacterial']"
Epithelial,DC,Positive,CCL25,['nan']
Epithelial,DC,Positive,CCL3,"[' Type 1', 'Antibacterial', 'Antiviral']"
Epithelial,DC,Positive,CCL4,"['Antibacterial', 'Antiviral']"
Epithelial,DC,Positive,CCL5,"[' Antibacterial', 'Inflammation', 'Type 2']"
Epithelial,DC,Positive,CCL9,['nan']
Epithelial,DC,Positive,CXCL1,"['Antibacterial', 'nan']"
Epithelial,DC,Positive,IL15,['nan']
Epithelial,DC,Positive,Serum Amyloid A,['Microbiome tuning of immune response']
Epithelial,DC,Positive,TSLP,"[' Microbiome tuning of immune response', ' Type 2', 'Antiparasitic']"
Epithelial,Endothelial,Positive,CXCL8,"[' Angiogenesis', ' Antibacterial', 'Inflammation', 'nan']"
Epithelial,Endothelial,Positive,IL1b,"[' Anti-EC bacteria', ' Antifungal', ' Inflammation', ' Type 3', 'Fever', 'Inflammation']"
Epithelial,Eosinophil,Positive,CCL11,['Type 2']
Epithelial,Eosinophil,Positive,CCL2,['Antibacterial']
Epithelial,Eosinophil,Positive,CCL28,['nan']
Epithelial,Eosinophil,Positive,CCL3,['Antibacterial']
Epithelial,Eosinophil,Positive,CCL4,['Antibacterial']
Epithelial,Eosinophil,Positive,CCL5,"[' Antibacterial', ' Type 2', 'Inflammation', 'Type 2', 'nan']"
Epithelial,Eosinophil,Positive,TGFb,"[' Tolerance', 'Microbiome tuning of immune response', 'nan']"
Epithelial,Epithelial,Positive,IL15,['nan']
Epithelial,Fibroblast,Positive,CCL3,"['Antibacterial', 'nan']"
Epithelial,Fibroblast,Positive,CXCL1,"[' Fibroplasia', 'Antibacterial', 'Inflammation', 'nan']"
Epithelial,Fibroblast,Positive,IL6,"[' Anti-EC bacteria', ' Antifungal', ' Inflammation', ' Type 3', 'Antibacterial', 'nan']"
Epithelial,Hepatocyte,Positive,IL1b,"[' Anti-EC bacteria', ' Antifungal', ' Inflammation', ' Type 3', 'Fever']"
Epithelial,Hepatocyte,Positive,IL6,"[' Anti-EC bacteria', ' Antifungal', ' Inflammation', ' Type 3', 'Antibacterial', 'Fever']"
Epithelial,IEL,Positive,CCL25,['nan']
Epithelial,IEL,Positive,IL1,"[' Cytotoxicity', ' Inflammation', 'Antibacterial', 'Cytotoxicity']"
Epithelial,IEL,Positive,IL15,['nan']
Epithelial,ILC1,Positive,IL18,"[' Anti-IC bacteria', ' Type 1', 'Antiviral', 'Inflammation']"
Epithelial,ILC2,Positive,IL25,"[' Antiparasitic', ' Inflammation', ' Microbiome tuning of immune response', ' Type 2', 'Antiparasitic', 'Type 2']"
Epithelial,ILC2,Positive,IL33,"[' Antiparasitic', ' Barrier immunity', ' Inflammation', ' Microbiome tuning of immune response', ' Type 2', 'Antiparasitic', 'Type 2']"
Epithelial,ILC2,Positive,TSLP,"[' Barrier immunity', ' Microbiome tuning of immune response', ' Type 2', 'Antiparasitic']"
Epithelial,ILC3,Positive,IL1,"[' Cytotoxicity', ' Inflammation', 'Antibacterial', 'nan']"
Epithelial,ILC3,Positive,IL1b,"[' Anti-EC bacteria', ' Antifungal', ' Inflammation', ' Type 3', 'Fever', 'Type 3']"
Epithelial,Keratinocyte,Positive,IL20,"['Type 2', 'nan']"
Epithelial,Macrophage,Negative,TGFb,"[' Tolerance', 'Microbiome tuning of immune response', 'nan']"
Epithelial,Macrophage,Positive,CCL1,['Antibacterial']
Epithelial,Macrophage,Positive,CCL11,['Type 2']
Epithelial,Macrophage,Positive,CCL2,"['Antibacterial', 'nan']"
Epithelial,Macrophage,Positive,CCL20,"[' Antibacterial', ' Antifungal', 'Anti-EC bacteria', 'nan']"
Epithelial,Macrophage,Positive,CCL25,['nan']
Epithelial,Macrophage,Positive,CCL3,"['Antibacterial', 'nan']"
Epithelial,Macrophage,Positive,CCL4,"['Antibacterial', 'nan']"
Epithelial,Macrophage,Positive,CCL5,"[' Antibacterial', 'Type 2', 'nan']"
Epithelial,Macrophage,Positive,CXCL1,['Antibacterial']
Epithelial,Macrophage,Positive,CXCL8,"[' Angiogenesis', ' Antibacterial', 'Antibacterial', 'Inflammation']"
Epithelial,Macrophage,Positive,IL1,"[' Cytotoxicity', ' Inflammation', 'Antibacterial']"
Epithelial,Macrophage,Positive,IL1a,"['Fever', 'nan']"
Epithelial,Macrophage,Positive,IL1b,"[' Anti-EC bacteria', ' Antifungal', ' Inflammation', ' Type 3', 'Fever', 'nan']"
Epithelial,Macrophage,Positive,IL6,"[' Anti-EC bacteria', ' Antifungal', ' Inflammation', ' Type 3', 'Antibacterial']"
Epithelial,Mast,Positive,CCL11,"['Type 2', 'nan']"
Epithelial,Mast,Positive,IL25,"[' Inflammation', ' Microbiome tuning of immune response', ' Type 2', 'Antiparasitic']"
Epithelial,Mast,Positive,IL33,"[' Inflammation', ' Microbiome tuning of immune response', ' Type 2', 'Antiparasitic']"
Epithelial,Monocyte,Negative,IL37,['nan']
Epithelial,Monocyte,Positive,CCL1,"['Antibacterial', 'nan']"
Epithelial,Monocyte,Positive,CCL2,"[' Anti-IC bacteria', ' Antibacterial', ' Inflammation', ' Type 1', 'Antibacterial', 'Inflammation', 'Type 2']"
Epithelial,Monocyte,Positive,CCL20,"[' Antibacterial', ' Antifungal', 'Anti-EC bacteria', 'nan']"
Epithelial,Monocyte,Positive,CCL3,"[' Antibacterial', ' Type 1', 'Antibacterial', 'Antiviral']"
Epithelial,Monocyte,Positive,CCL4,"[' Antibacterial', 'Antibacterial', 'Antiviral']"
Epithelial,Monocyte,Positive,CCL5,"[' Antibacterial', 'Inflammation', 'Type 2']"
Epithelial,Monocyte,Positive,CCL9,['nan']
Epithelial,Monocyte,Positive,CXCL8,"[' Angiogenesis', ' Antibacterial', 'Inflammation']"
Epithelial,Monocyte,Positive,IL1,"[' Cytotoxicity', ' Inflammation', 'Antibacterial', 'Inflammation']"
Epithelial,Monocyte,Positive,IL6,"[' Anti-EC bacteria', ' Antifungal', ' Inflammation', ' Type 3', 'Antibacterial', 'Inflammation']"
Epithelial,NK,Positive,CCL2,"['Antibacterial', 'Type 2']"
Epithelial,NK,Positive,CCL3,"[' Type 1', 'Antibacterial', 'Antiviral']"
Epithelial,NK,Positive,CCL4,"['Antibacterial', 'Antiviral']"
Epithelial,NK,Positive,CCL5,"[' Antibacterial', 'Inflammation', 'Type 2']"
Epithelial,NK,Positive,CXCL1,"['Antibacterial', 'nan']"
Epithelial,NK,Positive,IL15,['nan']
Epithelial,NK,Positive,IL18,"['Inflammation', 'Type 1']"
Epithelial,Neutrophil,Positive,CCL1,['Antibacterial']
Epithelial,Neutrophil,Positive,CCL2,['Antibacterial']
Epithelial,Neutrophil,Positive,CCL3,"['Antibacterial', 'nan']"
Epithelial,Neutrophil,Positive,CXCL1,"['Antibacterial', 'Inflammation']"
Epithelial,Neutrophil,Positive,CXCL8,"[' Angiogenesis', ' Antibacterial', ' Antifungal', ' Complement', ' Inflammation', 'Anti-EC bacteria', 'Inflammation']"
Epithelial,Neutrophil,Positive,IL1,"[' Cytotoxicity', ' Inflammation', 'Antibacterial']"
Epithelial,Neutrophil,Positive,IL18,"['Antibacterial', 'Inflammation']"
Epithelial,Neutrophil,Positive,TGFb,"[' Tolerance', 'Microbiome tuning of immune response', 'nan']"
Epithelial,Somatic,Positive,CCL9,['nan']
Epithelial,T_CD4,Negative,TGFb,"[' Tolerance', 'Immunosuppression', 'Microbiome tuning of immune response']"
Epithelial,T_CD8,Positive,IL18,"[' Antibacterial', ' Antiviral', 'Inflammation', 'Licensing']"
Epithelial,T_CD8_memory,Positive,IL15,['nan']
Epithelial,T_CD8_memory,Positive,TGFb,"[' Tolerance', 'Microbiome tuning of immune response', 'nan']"
Epithelial,T_NKT,Positive,CCL20,"[' Antibacterial', ' Antifungal', 'Anti-EC bacteria', 'nan']"
Epithelial,T_reg,Negative,IL1,"[' Cytotoxicity', ' Inflammation', 'Antibacterial', 'nan']"
Epithelial,T_reg,Negative,IL6,"[' Anti-EC bacteria', ' Antifungal', ' Inflammation', ' Type 3', 'Antibacterial', 'nan']"
Epithelial,T_reg,Positive,TGFb,"[' Tolerance', 'Immunosuppression', 'Microbiome tuning of immune response']"
Epithelial,Th1,Negative,TGFb,"[' Tolerance', 'Immunosuppression', 'Microbiome tuning of immune response']"
Epithelial,Th1,Positive,CCL3,"['Antibacterial', 'nan']"
Epithelial,Th1,Positive,CCL4,"['Antibacterial', 'nan']"
Epithelial,Th1,Positive,CCL5,"[' Antibacterial', 'Type 2', 'nan']"
Epithelial,Th1,Positive,IL18,"['Inflammation', 'nan']"
Epithelial,Th17,Positive,CCL20,"[' Antibacterial', ' Antifungal', ' Type 3', 'Anti-EC bacteria']"
Epithelial,Th17,Positive,IL1,"[' Cytotoxicity', ' Inflammation', 'Antibacterial', 'nan']"
Epithelial,Th17,Positive,IL6,"[' Anti-EC bacteria', ' Antifungal', ' Inflammation', ' Type 3', 'Antibacterial', 'nan']"
Epithelial,Th2,Negative,TGFb,"[' Tolerance', 'Immunosuppression', 'Microbiome tuning of immune response']"
Epithelial,Th2,Positive,CCL1,"['Antibacterial', 'nan']"
Epithelial,Th2,Positive,CCL11,['Type 2']
Epithelial,Th2,Positive,CCL2,"['Antibacterial', 'nan']"
Epithelial,Th2,Positive,CCL5,"[' Antibacterial', 'Type 2']"
Epithelial,Th2,Positive,IL25,"[' Inflammation', ' Microbiome tuning of immune response', ' Type 2', 'Antiparasitic', 'nan']"
Epithelial,Th2,Positive,IL33,"[' Inflammation', ' Microbiome tuning of immune response', ' Type 2', 'Antiparasitic']"
Epithelial,Th2,Positive,TSLP,"[' Microbiome tuning of immune response', ' Type 2', 'Antiparasitic', 'nan']"
Epithelial,pDC,Positive,IL18,"[' Antigen presentation', ' Antiviral', 'Antibacterial', 'Inflammation']"
Epithelial,pDC,Positive,IL6,"[' Anti-EC bacteria', ' Antifungal', ' Antigen presentation', ' Antiviral', ' Inflammation', ' Type 3', 'Antibacterial']"
FDC,B,Positive,BAFF,"[' Class switching', 'Class switching', 'T independent B activation/IgA production', 'nan']"
FDC,B,Positive,CXCL13,"[' LN development', 'Antibody production']"
FDC,DC,Positive,CXCL13,"[' LN development', 'Antibody production', 'nan']"
FDC,Tfh,Positive,CXCL13,"[' LN development', 'Antibody production', 'nan']"
Fibroblast,BM Stromal,Positive,CCL3,"[' Type 1', 'Antiviral', 'nan']"
Fibroblast,BM Stromal,Positive,OPGL,['nan']
Fibroblast,Basophil,Positive,CCL2,"[' Type 2', 'Inflammation', 'Type 2', 'nan']"
Fibroblast,Basophil,Positive,CCL3,"[' Type 1', 'Antiviral']"
Fibroblast,Basophil,Positive,CXCL8,"[' Angiogenesis', 'Inflammation', 'nan']"
Fibroblast,DC,Positive,CCL2,"[' Type 2', 'Inflammation', 'Type 2']"
Fibroblast,DC,Positive,CCL3,"[' Type 1', 'Antiviral']"
Fibroblast,DC,Positive,CXCL1,"[' Angiogenesis', ' Fibroplasia', 'Inflammation', 'nan']"
Fibroblast,DC,Positive,CXCL2,"[' Angiogenesis', ' Fibroplasia', 'Inflammation', 'nan']"
Fibroblast,Endothelial,Positive,CXCL8,"[' Angiogenesis', 'Inflammation', 'nan']"
Fibroblast,Eosinophil,Positive,CCL2,"[' Type 2', 'Antibacterial', 'Inflammation']"
Fibroblast,Eosinophil,Positive,CCL3,"[' Type 1', 'Antibacterial', 'Antiviral']"
Fibroblast,Fibroblast,Positive,CCL3,"[' Type 1', 'Antiviral', 'nan']"
Fibroblast,Fibroblast,Positive,CXCL1,"[' Angiogenesis', ' Fibroplasia', 'Inflammation', 'nan']"
Fibroblast,Fibroblast,Positive,CXCL2,"[' Angiogenesis', ' Fibroplasia', 'Inflammation', 'nan']"
Fibroblast,Fibroblast,Positive,CXCL3,"[' Angiogenesis', ' Fibroplasia', 'Inflammation', 'nan']"
Fibroblast,Hematopoietic,Positive,IL11,['Hematopoiesis']
Fibroblast,Macrophage,Positive,CCL2,"[' Type 2', 'Antibacterial', 'Inflammation', 'nan']"
Fibroblast,Macrophage,Positive,CCL3,"[' Type 1', 'Antiviral', 'nan']"
Fibroblast,Macrophage,Positive,CXCL1,"[' Angiogenesis', ' Fibroplasia', 'Antibacterial', 'Inflammation']"
Fibroblast,Macrophage,Positive,CXCL8,"[' Angiogenesis', 'Antibacterial', 'Inflammation']"
Fibroblast,Monocyte,Positive,CCL2,"[' Anti-IC bacteria', ' Antibacterial', ' Inflammation', ' Type 1', ' Type 2', 'Inflammation', 'Type 2']"
Fibroblast,Monocyte,Positive,CCL3,"[' Antibacterial', ' Type 1', 'Antiviral']"
Fibroblast,Monocyte,Positive,CXCL8,"[' Angiogenesis', 'Inflammation']"
Fibroblast,NK,Positive,CCL2,"[' Type 2', 'Inflammation', 'Type 2']"
Fibroblast,NK,Positive,CCL3,"[' Type 1', 'Antiviral']"
Fibroblast,NK,Positive,CXCL1,"[' Angiogenesis', ' Fibroplasia', 'Inflammation', 'nan']"
Fibroblast,NK,Positive,CXCL2,"[' Angiogenesis', ' Fibroplasia', 'Inflammation', 'nan']"
Fibroblast,NK,Positive,IFNb,"[' Antigen presentation', ' Cytotoxicity', 'Antiviral']"
Fibroblast,Neutrophil,Positive,CCL2,"[' Type 2', 'Antibacterial', 'Inflammation']"
Fibroblast,Neutrophil,Positive,CCL3,"[' Type 1', 'Antiviral', 'nan']"
Fibroblast,Neutrophil,Positive,CXCL1,"[' Angiogenesis', ' Fibroplasia', 'Antibacterial', 'Inflammation']"
Fibroblast,Neutrophil,Positive,CXCL2,"[' Angiogenesis', ' Antifungal', ' Fibroplasia', 'Anti-EC bacteria', 'Inflammation']"
Fibroblast,Neutrophil,Positive,CXCL3,"[' Angiogenesis', ' Fibroplasia', 'Inflammation', 'nan']"
Fibroblast,Neutrophil,Positive,CXCL8,"[' Angiogenesis', ' Antibacterial', ' Antifungal', ' Complement', ' Inflammation', 'Anti-EC bacteria', 'Inflammation']"
Fibroblast,Th1,Positive,CCL3,"[' Type 1', 'Antiviral', 'nan']"
Fibroblast,Th2,Positive,CCL2,"[' Type 2', 'Inflammation', 'nan']"
Fibroblast,pDC,Positive,IFNb,"[' Antigen presentation', ' Antiviral', 'Antibacterial', 'Antiviral']"
IEL,DC,Positive,IFNg,"['Antigen presentation', 'Antiviral']"
IEL,Endothelial,Positive,IFNg,"['Antiviral', 'Inflammation']"
IEL,Eosinophil,Positive,TGFb,"['Inflammation', 'nan']"
IEL,Epithelial,Positive,IFNg,"['Antiviral', 'Inflammation']"
IEL,Keratinocyte,Positive,IFNg,"['Antiviral', 'nan']"
IEL,Macrophage,Negative,TGFb,"['Inflammation', 'nan']"
IEL,Macrophage,Positive,IFNg,"[' Anti-IC bacteria', ' Antigen presentation', ' Antiparasitic', ' Antiviral', ' Inflammation', ' Licensing', ' Type 1', 'Antibacterial', 'Antiviral', 'nan']"
IEL,NK,Positive,IFNg,"['Antiviral', 'nan']"
IEL,Neutrophil,Positive,TGFb,"['Inflammation', 'nan']"
IEL,T_CD4,Negative,TGFb,"['Immunosuppression', 'Inflammation']"
IEL,T_CD8_memory,Positive,TGFb,"['Inflammation', 'nan']"
IEL,T_reg,Positive,IFNg,"['Antiviral', 'Immunosuppression']"
IEL,T_reg,Positive,TGFb,"['Immunosuppression', 'Inflammation']"
IEL,Th1,Negative,TGFb,"['Immunosuppression', 'Inflammation']"
IEL,Th2,Negative,IFNg,"['Antiviral', 'nan']"
IEL,Th2,Negative,TGFb,"['Immunosuppression', 'Inflammation']"
ILC1,DC,Positive,IFNg,"[' Anti-IC bacteria', ' Antibacterial', ' Antigen presentation', ' Antiviral', ' Class switching', ' Type 1', 'Antigen presentation', 'Type 1']"
ILC1,Endothelial,Positive,IFNg,"[' Anti-IC bacteria', ' Antibacterial', ' Antigen presentation', ' Antiviral', ' Class switching', ' Type 1', 'Inflammation', 'Type 1']"
ILC1,Epithelial,Positive,IFNg,"[' Anti-IC bacteria', ' Antibacterial', ' Antigen presentation', ' Antiviral', ' Class switching', ' Type 1', 'Inflammation', 'Type 1']"
ILC1,Keratinocyte,Positive,IFNg,"[' Anti-IC bacteria', ' Antibacterial', ' Antigen presentation', ' Antiviral', ' Class switching', ' Type 1', 'Type 1', 'nan']"
ILC1,Macrophage,Positive,IFNg,"[' Anti-IC bacteria', ' Antibacterial', ' Antigen presentation', ' Antiparasitic', ' Antiviral', ' Class switching', ' Inflammation', ' Licensing', ' Type 1', 'Antibacterial', 'Type 1', 'nan']"
ILC1,NK,Positive,IFNg,"[' Anti-IC bacteria', ' Antibacterial', ' Antigen presentation', ' Antiviral', ' Class switching', ' Type 1', 'Type 1', 'nan']"
ILC1,T_reg,Positive,IFNg,"[' Anti-IC bacteria', ' Antibacterial', ' Antigen presentation', ' Antiviral', ' Class switching', ' Type 1', 'Immunosuppression', 'Type 1']"
ILC1,Th2,Negative,IFNg,"[' Anti-IC bacteria', ' Antibacterial', ' Antigen presentation', ' Antiviral', ' Class switching', ' Type 1', 'Type 1', 'nan']"
ILC2,B,Positive,IL4,"[' Antibody production', ' Antiparasitic', ' Barrier immunity', ' Class switching', 'Type 2', 'nan']"
ILC2,B,Positive,IL5,"[' Allergic Inflammation', ' Antiparasitic', ' Barrier immunity', 'Class switching', 'Type 2']"
ILC2,Basophil,Positive,IL13,"[' Allergic Inflammation', ' Anti-inflammatory', ' Antibody production', ' Antiparasitic', ' Barrier immunity', ' Barrier integrity', 'Type 2']"
ILC2,Basophil,Positive,IL4,"[' Antibody production', ' Antiparasitic', ' Barrier immunity', ' Class switching', 'Antiparasitic', 'Type 2']"
ILC2,Basophil,Positive,IL5,"[' Allergic Inflammation', ' Antiparasitic', ' Barrier immunity', ' Inflammation', 'Type 2']"
ILC2,DC,Positive,IL13,"[' Allergic Inflammation', ' Anti-inflammatory', ' Antibody production', ' Antiparasitic', ' Barrier immunity', ' Barrier integrity', ' Type 2', 'Antiparasitic', 'Type 2']"
ILC2,Endothelial,Positive,IL17A,"['Anti-EC bacteria', 'Inflammation']"
ILC2,Eosinophil,Positive,IL13,"[' Allergic Inflammation', ' Anti-inflammatory', ' Antibody production', ' Antiparasitic', ' Barrier immunity', ' Barrier integrity', 'Type 2']"
ILC2,Eosinophil,Positive,IL5,"[' Allergic Inflammation', ' Antiparasitic', ' Barrier immunity', ' Inflammation', ' Type 2', 'Allergic Inflammation', 'Antiparasitic', 'Type 2']"
ILC2,Epithelial,Positive,IL13,"[' Allergic Inflammation', ' Anti-inflammatory', ' Antibody production', ' Antiparasitic', ' Barrier immunity', ' Barrier integrity', ' Type 2', 'Barrier immunity', 'Type 2']"
ILC2,Epithelial,Positive,IL17A,"[' Anti-EC bacteria', ' Antifungal', ' Antimicrobial', ' Barrier immunity', ' Inflammation', 'Anti-EC bacteria', 'Type 3']"
ILC2,Epithelial,Positive,IL22,"[' Anti-EC bacteria', ' Antifungal', ' Antimicrobial', ' Barrier immunity', ' Barrier integrity', ' Tolerance', ' Type 3', 'Anti-EC bacteria', 'Antibacterial']"
ILC2,Fibroblast,Positive,IL17A,"[' Antifungal', ' Inflammation', 'Anti-EC bacteria']"
ILC2,Hepatocyte,Positive,IL22,"['Anti-EC bacteria', 'Inflammation']"
ILC2,ILC2,Positive,IL9,['Type 2']
ILC2,Keratinocyte,Positive,IL17A,"[' Antifungal', 'Anti-EC bacteria']"
ILC2,Macrophage,Negative,IL13,"[' Allergic Inflammation', ' Anti-inflammatory', ' Antibody production', ' Antiparasitic', ' Barrier immunity', ' Barrier integrity', 'Inflammation', 'Type 2']"
ILC2,Macrophage,Positive,IL13,"[' Allergic Inflammation', ' Anti-inflammatory', ' Antibody production', ' Antiparasitic', ' Barrier immunity', ' Barrier integrity', ' Tissue remodeling', 'Type 2']"
ILC2,Macrophage,Positive,IL4,"[' Antibody production', ' Antiparasitic', ' Barrier immunity', ' Class switching', ' Tissue remodeling', 'Type 2']"
ILC2,Mast,Positive,IL4,"[' Antibody production', ' Antiparasitic', ' Barrier immunity', ' Class switching', 'Antiparasitic', 'Type 2']"
ILC2,Mast,Positive,IL5,"[' Allergic Inflammation', ' Antiparasitic', ' Barrier immunity', 'Inflammation', 'Type 2']"
ILC2,Mast,Positive,IL9,"[' Type 2', 'Antiparasitic', 'Type 2']"
ILC2,Neutrophil,Positive,IL17A,"[' Anti-EC bacteria', ' Antifungal', 'Anti-EC bacteria', 'Antibacterial']"
ILC2,Smooth muscle,Positive,IL13,"[' Allergic Inflammation', ' Anti-inflammatory', ' Antibody production', ' Antiparasitic', ' Barrier immunity', ' Barrier integrity', 'Type 2']"
ILC2,Somatic,Positive,IL17A,"[' Anti-EC bacteria', ' Antifungal', ' Inflammation', 'Anti-EC bacteria', 'Type 3']"
ILC2,Th2,Positive,IL13,"[' Allergic Inflammation', ' Anti-inflammatory', ' Antibody production', ' Antiparasitic', ' Barrier immunity', ' Barrier integrity', 'Type 2', 'nan']"
ILC2,Th2,Positive,IL4,"[' Antibody production', ' Antiparasitic', ' Barrier immunity', ' Class switching', 'Type 2', 'nan']"
ILC2,Th2,Positive,IL9,['Type 2']
ILC3,B,Positive,CCL20,"[' Antifungal', 'Anti-EC bacteria']"
ILC3,DC,Positive,CCL20,"[' Antifungal', 'Anti-EC bacteria', 'Antibacterial']"
ILC3,DC,Positive,IFNg,"['Antigen presentation', 'Inflammation']"
ILC3,Endothelial,Positive,IFNg,['Inflammation']
ILC3,Endothelial,Positive,IL17A,"[' Antifungal', ' Antimicrobial', ' Inflammation', ' Type 3', 'Anti-EC bacteria', 'Inflammation']"
ILC3,Endothelial,Positive,IL17F,['Inflammation']
ILC3,Epithelial,Positive,IFNg,['Inflammation']
ILC3,Epithelial,Positive,IL17A,"[' Anti-EC bacteria', ' Antifungal', ' Antimicrobial', ' Barrier immunity', ' Inflammation', ' Type 3', 'Anti-EC bacteria', 'Type 3']"
ILC3,Epithelial,Positive,IL17F,['Inflammation']
ILC3,Epithelial,Positive,IL22,"[' Acute phase response', ' Anti-EC bacteria', ' Antibacterial', ' Antifungal', ' Antimicrobial', ' Barrier immunity', ' Barrier integrity', ' Inflammation', ' Tolerance', ' Type 3', 'Anti-EC bacteria', 'Antibacterial']"
ILC3,Fibroblast,Positive,IL17A,"[' Antifungal', ' Antimicrobial', ' Inflammation', ' Type 3', 'Anti-EC bacteria']"
ILC3,Fibroblast,Positive,IL17F,['Inflammation']
ILC3,Hepatocyte,Positive,IL22,"[' Acute phase response', ' Antibacterial', ' Antifungal', ' Antimicrobial', ' Barrier integrity', ' Inflammation', ' Tolerance', ' Type 3', 'Anti-EC bacteria', 'Inflammation']"
ILC3,Keratinocyte,Positive,IFNg,"['Inflammation', 'nan']"
ILC3,Keratinocyte,Positive,IL17A,"[' Antifungal', ' Antimicrobial', ' Inflammation', ' Type 3', 'Anti-EC bacteria']"
ILC3,Macrophage,Positive,CCL20,"[' Antifungal', 'Anti-EC bacteria', 'nan']"
ILC3,Macrophage,Positive,IFNg,"[' Anti-IC bacteria', ' Antigen presentation', ' Antiparasitic', ' Antiviral', ' Inflammation', ' Licensing', ' Type 1', 'Antibacterial', 'Inflammation', 'nan']"
ILC3,Monocyte,Positive,CCL20,"[' Antifungal', 'Anti-EC bacteria', 'nan']"
ILC3,NK,Positive,IFNg,"['Inflammation', 'nan']"
