"ImmuneProcesses","interaction","JanewayReferences","name","selected","shared interaction","shared name","SourceReceptors","TargetReceptors"
"Class switching, Antibody production, Type 1","Secrete","377: In addition to production of low amounts of cytokines characteristic of the effector T-cell subsets with which they develop in parallel (for example, IFN-<U+03B3>, IL-4, or IL-17), and which promote different patterns of B-cell class switching, TFH cells produce high amounts of IL-21, a cytokine that supports the proliferation and differentiation of B cells into antibody-producing plasma cells.; 385: Table Figure 9.4; 401: Other cytokines produced by TFH cells include IL-6, TGF-ß, IFN-<U+03B3>, and IL-4, which provide signals that can regulate the type of antibody produced, as we will see in Section 10-12.; 401: Figure 10.3; 406: Later in the antibody response, TFH cells will produce other cytokines, such as IL-4 and IFN-<U+03B3>, that are characteristic of the other T helper subsets (described in Chapter 9). These will impact B-cell differentiation, particularly class switching, as we discuss later.; 373: TFH cells producing IFn-<U+03B3> activate B cells to produce strongly opsonizing antibodies belonging to certain IgG subclasses (IgG1 and IgG3 in humans, and their homologs, IgG2a and IgG2b, in the mouse) in type 1 responses.","Tfh (Secrete) IFNg","false","Secrete","Tfh (Secrete) IFNg","",""
"Type 3, Class switching","Secrete","373: TFH cells that produce IL-17 appear to be important for generating opsonizing antibodies directed against extracellular pathogens in the context of type 3/TH17 immunity.; 373: TH17 cells are so named because they produce the cytokines IL-17A and IL-17F; they also produce IL-22.; 377: In addition to production of low amounts of cytokines characteristic of the effector T-cell subsets with which they develop in parallel (for example, IFN-<U+03B3>, IL-4, or IL-17), and which promote different patterns of B-cell class switching, TFH cells produce high amounts of IL-21, a cytokine that supports the proliferation and differentiation of B cells into antibody-producing plasma cells.","Tfh (Secrete) IL17A","false","Secrete","Tfh (Secrete) IL17A","",""
"Antibody production, Class switching","Secrete","373: Figure 9.30; 377: In addition to production of low amounts of cytokines characteristic of the effector T-cell subsets with which they develop in parallel (for example, IFN-<U+03B3>, IL-4, or IL-17), and which promote different patterns of B-cell class switching, TFH cells produce high amounts of IL-21, a cytokine that supports the proliferation and differentiation of B cells into antibody-producing plasma cells.; 401: This occurs when antigen bound by surface immunoglobulin on the B cell is internalized and degraded within the B cell and peptides derived from it are returned to the cell surface in a complex with MHC class II molecules (see Fig. 10.2, first panel). When the TFH cell recognizes these peptide:MHC complexes, it provides the B cell with signals that favor survival and induce proliferation. These signals include the activation of CD40 on B cells by TFH expression of its ligand, CD40L (CD154), and production of various cytokines by TFH cells, including IL-21 (Fig. 10.3).; 401: Besides expression of CD40 ligand, the TFH cell secretes several important cytokines. Included among them is IL-21, which activates the transcription factor STAT3 to enhance B-cell proliferation and survival.; 406: Primary among these is IL-21, which is produced early in immune responses by TFH cells and which activates the transcription factor STAT3 in B cells to support proliferation and differentiation. IL-21 exerts similar autocrine effects on TFH cells.; 411: B cells that present linked antigen epitopes to TFH cells will receive help through CD40L and IL-21, which promote survival and proliferation.; 418: TFH cells also produce IL-21, which promotes switching to IgG1 and IgG3.; 421: Follicular helper T cells stimulate B cells by conjugation in germinal centers, with binding of CD40 ligand on the T cell to CD40 on the B cell, and by their release of cytokines, such as IL-21.; 812: Table Appendix III","Tfh (Secrete) IL21","false","Secrete","Tfh (Secrete) IL21","",""
"","Secrete","373: TH17 cells are so named because they produce the cytokines IL-17A and IL-17F; they also produce IL-22.","Tfh (Secrete) IL22","false","Secrete","Tfh (Secrete) IL22","",""
"Class switching, Antibody production, Antiparasitic, Type 2","Secrete","377: In addition to production of low amounts of cytokines characteristic of the effector T-cell subsets with which they develop in parallel (for example, IFN-<U+03B3>, IL-4, or IL-17), and which promote different patterns of B-cell class switching, TFH cells produce high amounts of IL-21, a cytokine that supports the proliferation and differentiation of B cells into antibody-producing plasma cells.; 385: Table Figure 9.4; 401: Other cytokines produced by TFH cells include IL-6, TGF-ß, IFN-<U+03B3>, and IL-4, which provide signals that can regulate the type of antibody produced, as we will see in Section 10-12.; 401: Figure 10.3; 401: For example, TFH cells transcribe the IL-4 gene using regulatory elements that are independent of the transcription factors GATA-3 and STAT6, which are responsible for IL-4 production by TH2 cells; 406: Later in the antibody response, TFH cells will produce other cytokines, such as IL-4 and IFN-<U+03B3>, that are characteristic of the other T helper subsets (described in Chapter 9). These will impact B-cell differentiation, particularly class switching, as we discuss later.; 464: The response to helminths generates high levels of IgE antibody, induced by IL-4-producing TFH cells that develop in concert with TH2 cells (see Section 9-20).; 373: Those TFH cells producing IL-4 drive B cells to differentiate and produce immunoglobulin IgE, which arms mast cells and basophils for granule release in type 2 responses.","Tfh (Secrete) IL4","false","Secrete","Tfh (Secrete) IL4","",""
"Antibody production","Secrete","401: Other cytokines produced by TFH cells include IL-6, TGF-ß, IFN-<U+03B3>, and IL-4, which provide signals that can regulate the type of antibody produced, as we will see in Section 10-12.; 401: Figure 10.3; 406: Nevertheless, T cells still provide important signals for plasma-cell differentiation and survival, such as IL-6 and CD40 ligand.","Tfh (Secrete) IL6","false","Secrete","Tfh (Secrete) IL6","",""
"Antibody production","Secrete","401: Other cytokines produced by TFH cells include IL-6, TGF-ß, IFN-<U+03B3>, and IL-4, which provide signals that can regulate the type of antibody produced, as we will see in Section 10-12.; 401: Figure 10.3","Tfh (Secrete) TGFb","false","Secrete","Tfh (Secrete) TGFb","",""
"Antibacterial, Antifungal","Activate","89: Table Figure 3.10","b-glucan (Activate) Basophil","false","Activate","b-glucan (Activate) Basophil","","TLR"
"Anti-EC bacteria, Antifungal, Antibacterial","Activate","465: As discussed in Chapter 9, the development of TH17 cells is induced by the combined actions of TGF-ß and the pro-inflammatory cytokines IL-6, IL-1, and IL-23 (see Fig. 9.31). The latter is preferentially produced by CD103 CD11b  conventional dendritic cells that recognize MAMPs produced by extracellular bacteria, such as flagellin, which is recognized by TLR5; or MAMPs produced by fungi, such as ß-glucan polymers of glucose expressed by yeast and fungi that are recognized by Dectin-1.; 89: Table Figure 3.10","b-glucan (Activate) DC","false","Activate","b-glucan (Activate) DC","","Dectin-1, TLR"
"Antibacterial, Antifungal","Activate","89: Table Figure 3.10","b-glucan (Activate) Eosinophil","false","Activate","b-glucan (Activate) Eosinophil","","TLR"
"Antibacterial, Antifungal","Activate","89: Table Figure 3.10","b-glucan (Activate) Mast","false","Activate","b-glucan (Activate) Mast","","TLR"
"Antibacterial, Antifungal","Activate","89: Table Figure 3.10","b-glucan (Activate) Monocyte","false","Activate","b-glucan (Activate) Monocyte","","TLR"
"Allergic Inflammation, Inflammation","Polarize","605: Figure 14.3","Basophil (Polarize) B","false","Polarize","Basophil (Polarize) B","CD40L","CD40"
"Inflammation, Vascular permeability increase","Secrete","617: Basophils express high-affinity FceRI on their cell surfaces and so have IgE bound. On activation by antigen binding to IgE or by cytokines, they release histamine from their granules and also produce IL-4 and IL-13.; 620: In anaphylactic shock, a widespread increase in vascular permeability and smooth muscle contraction results from a massive release of histamine and other mast cell- and basophil-derived mediators such as leukotrienes.","Basophil (Secrete) Histamine","false","Secrete","Basophil (Secrete) Histamine","",""
"Inflammation","Secrete","617: Basophils express high-affinity FceRI on their cell surfaces and so have IgE bound. On activation by antigen binding to IgE or by cytokines, they release histamine from their granules and also produce IL-4 and IL-13.","Basophil (Secrete) IL13","false","Secrete","Basophil (Secrete) IL13","",""
"Antiparasitic, Type 2, Allergic Inflammation, Inflammation","Secrete","376: Eosinophils, basophils, and mast cells are each attractive possibilities because they can produce abundant IL-4 when activated by chitin, a polysaccharide present in helminth parasites, as well as in insects and crustaceans, which induces TH2 responses.; 451: However, eosinophils and basophils that are recruited by chemokines produced by ILC2s are activated to produce IL-4 in response to the IL-5 and IL-13 produced by ILC2s, possibly providing an indirect mechanism by which TH2 differentiation is directed by ILC2s.; 605: Figure 14.3; 612: The specific IgE produced in response to the allergen binds to the high-affinity receptor for IgE on mast cells and basophils. IgE production can be amplified by these cells because, upon activation, they produce IL-4 and express CD40 ligand.; 617: Basophils express high-affinity FceRI on their cell surfaces and so have IgE bound. On activation by antigen binding to IgE or by cytokines, they release histamine from their granules and also produce IL-4 and IL-13.","Basophil (Secrete) IL4","false","Secrete","Basophil (Secrete) IL4","",""
"Vascular permeability increase","Secrete","620: In anaphylactic shock, a widespread increase in vascular permeability and smooth muscle contraction results from a massive release of histamine and other mast cell- and basophil-derived mediators such as leukotrienes.","Basophil (Secrete) Leukotrienes","false","Secrete","Basophil (Secrete) Leukotrienes","",""
"T independent B activation/IgA production, Class switching, Tolerance","Secrete","509: Once in the mucosa, TGF-ß-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-ß.; 522: Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-ß when exposed to commensal microbes (see Section 12-11).","Eosinophil (Secrete) APRIL","false","Secrete","Eosinophil (Secrete) APRIL","",""
"Inflammation","Secrete","616: Table Figure 14.10","Eosinophil (Secrete) CXCL8","false","Secrete","Eosinophil (Secrete) CXCL8","",""
"Neurotoxicity","Secrete","616: Table Figure 14.10","Eosinophil (Secrete) Eosinophil-derived neurotoxin","false","Secrete","Eosinophil (Secrete) Eosinophil-derived neurotoxin","",""
"Antiparasitic, Neurotoxicity","Secrete","616: Table Figure 14.10","Eosinophil (Secrete) Eosinophil cationic protein","false","Secrete","Eosinophil (Secrete) Eosinophil cationic protein","",""
"Tissue remodeling","Secrete","616: Table Figure 14.10","Eosinophil (Secrete) Eosinophil collagenase","false","Secrete","Eosinophil (Secrete) Eosinophil collagenase","",""
"","Secrete","616: Table Figure 14.10","Eosinophil (Secrete) Eosinophil peroxidase","false","Secrete","Eosinophil (Secrete) Eosinophil peroxidase","",""
"","Secrete","616: Table Figure 14.10","Eosinophil (Secrete) GMCSF","false","Secrete","Eosinophil (Secrete) GMCSF","",""
"","Secrete","812: Table Appendix III","Eosinophil (Secrete) IL16","false","Secrete","Eosinophil (Secrete) IL16","",""
"","Secrete","616: Table Figure 14.10","Eosinophil (Secrete) IL3","false","Secrete","Eosinophil (Secrete) IL3","",""
"Antiparasitic, Type 2","Secrete","376: Eosinophils, basophils, and mast cells are each attractive possibilities because they can produce abundant IL-4 when activated by chitin, a polysaccharide present in helminth parasites, as well as in insects and crustaceans, which induces TH2 responses.; 451: However, eosinophils and basophils that are recruited by chemokines produced by ILC2s are activated to produce IL-4 in response to the IL-5 and IL-13 produced by ILC2s, possibly providing an indirect mechanism by which TH2 differentiation is directed by ILC2s.","Eosinophil (Secrete) IL4","false","Secrete","Eosinophil (Secrete) IL4","",""
"","Secrete","616: Table Figure 14.10","Eosinophil (Secrete) IL5","false","Secrete","Eosinophil (Secrete) IL5","",""
"T independent B activation/IgA production, Class switching, Tolerance","Secrete","509: Once in the mucosa, TGF-ß-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-ß.; 522: Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-ß when exposed to commensal microbes (see Section 12-11).","Eosinophil (Secrete) IL6","false","Secrete","Eosinophil (Secrete) IL6","",""
"Allergic Inflammation","Secrete","617: Among other things, eosinophils secrete TH2-type cytokines and in vitro can promote the apoptosis of TH1 cells by their expression of IDO and consequent production of kynurenine, which acts on the TH1 cells.","Eosinophil (Secrete) Kynurenine","false","Secrete","Eosinophil (Secrete) Kynurenine","IDO",""
"Inflammation, Vascular permeability increase, Barrier immunity","Secrete","616: When activated, eosinophils express two kinds of effector function. First, they can release highly toxic granule proteins and free radicals, which can kill microorganisms and parasites but also can cause significant damage to host tissues in allergic reactions (Fig. 14.10). Second, they can synthesize chemical mediators, including prostaglandins, leukotrienes, and cytokines. These amplify the inflammatory response by activating epithelial cells and by recruiting and activating more eosinophils and leukocytes.; 616: Table Figure 14.10","Eosinophil (Secrete) Leukotrienes","false","Secrete","Eosinophil (Secrete) Leukotrienes","",""
"Antiparasitic, Type 2, Inflammation","Secrete","464: The IL-5 produced by TH2 cells and ILC2 cells recruits and activates eosinophils (see Fig. 11.15), which have direct toxic effects on worms by releasing cytotoxic molecules stored in their secretory granules, such as major basic protein (MBP).; 463: Eosinophils produce MBP, which kills parasites.; 616: Table Figure 14.10; 617: Eosinophil degranulation releases major basic protein (see Fig. 14.10), which in turn causes the degranulation of mast cells and basophils. This effect is augmented by any of the cytokines that affect eosinophil and basophil growth, differentiation, and activation, such as IL-3, IL-5, and GM-CSF.","Eosinophil (Secrete) Major basic protein","false","Secrete","Eosinophil (Secrete) Major basic protein","",""
"Tissue remodeling","Secrete","616: Table Figure 14.10","Eosinophil (Secrete) MMP","false","Secrete","Eosinophil (Secrete) MMP","",""
"Vascular permeability increase, Barrier immunity","Secrete","616: Table Figure 14.10","Eosinophil (Secrete) Platelet-Activating Factor","false","Secrete","Eosinophil (Secrete) Platelet-Activating Factor","",""
"Inflammation","Secrete","616: When activated, eosinophils express two kinds of effector function. First, they can release highly toxic granule proteins and free radicals, which can kill microorganisms and parasites but also can cause significant damage to host tissues in allergic reactions (Fig. 14.10). Second, they can synthesize chemical mediators, including prostaglandins, leukotrienes, and cytokines. These amplify the inflammatory response by activating epithelial cells and by recruiting and activating more eosinophils and leukocytes.","Eosinophil (Secrete) Prostaglandins","false","Secrete","Eosinophil (Secrete) Prostaglandins","",""
"","Secrete","616: Table Figure 14.10","Eosinophil (Secrete) TGFa","false","Secrete","Eosinophil (Secrete) TGFa","",""
"T independent B activation/IgA production, Class switching, Tolerance","Secrete","509: Once in the mucosa, TGF-ß-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-ß.; 522: Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-ß when exposed to commensal microbes (see Section 12-11).; 616: Table Figure 14.10","Eosinophil (Secrete) TGFb","false","Secrete","Eosinophil (Secrete) TGFb","",""
"Allergic Inflammation, Inflammation","Polarize","605: Figure 14.3","Mast (Polarize) B","false","Polarize","Mast (Polarize) B","CD40L","CD40"
"Tissue remodeling","Secrete","614: Table Figure 14.9; 615: Mast cells in the submucosa and other connective tissues predominantly express chymase, tryptase, carboxypeptidase A, and cathepsin G and are designated MCCT.","Mast (Secrete) Carboxypeptidase","false","Secrete","Mast (Secrete) Carboxypeptidase","",""
"Inflammation","Secrete","87: C5a also activates local mast cells (see Section 1-4), which are stimulated to release their granules containing the small inflammatory molecule histamine as well as TNF-a and cathelicidins.","Mast (Secrete) Cathelicidins","false","Secrete","Mast (Secrete) Cathelicidins","",""
"Tissue remodeling","Secrete","614: Table Figure 14.9; 615: Mast cells in the submucosa and other connective tissues predominantly express chymase, tryptase, carboxypeptidase A, and cathepsin G and are designated MCCT.","Mast (Secrete) Cathepsin G","false","Secrete","Mast (Secrete) Cathepsin G","",""
"Antiviral, Type 1","Secrete","112: Table Figure 3.28; 614: Table Figure 14.9","Mast (Secrete) CCL3","false","Secrete","Mast (Secrete) CCL3","",""
"Antibody production, Class switching","Secrete","813: Table Appendix III","Mast (Secrete) CD40L","false","Secrete","Mast (Secrete) CD40L","",""
"Vascular permeability increase, Inflammation","Secrete","618-619: The late-phase reaction is caused by the continued synthesis and release of inflammatory mediators by mast cells, especially vasoactive mediators such as calcitonin gene-related peptide (CGRP) and vascular endothelial growth factor (VEGF), which cause vasodilation and vascular leakage that result in edema and the recruitment of eosinophils, basophils, monocytes, and lymphocytes.","Mast (Secrete) CGRP","false","Secrete","Mast (Secrete) CGRP","",""
"Allergic Inflammation, Inflammation, Tissue remodeling","Secrete","614: Mast-cell degranulation begins within seconds of antigen binding, releasing an array of preformed and newly generated inflammatory mediators (Fig. 14.9). Granule contents include the short-lived vasoactive amine histamine, serine esterases, and proteases such as chymase and tryptase.; 614: Table Figure 14.9; 615: Mast cells in the submucosa and other connective tissues predominantly express chymase, tryptase, carboxypeptidase A, and cathepsin G and are designated MCCT.","Mast (Secrete) Chymase","false","Secrete","Mast (Secrete) Chymase","",""
"","Secrete","614: Table Figure 14.9","Mast (Secrete) GMCSF","false","Secrete","Mast (Secrete) GMCSF","",""
"Antiparasitic, Vascular permeability increase","Secrete","614: Table Figure 14.9","Mast (Secrete) Heparin","false","Secrete","Mast (Secrete) Heparin","",""
"Inflammation, Type 2, Antiparasitic, Allergic Inflammation, Vascular permeability increase, Barrier immunity","Secrete","65: In addition, C3a and C5a can activate the mast cells that populate submucosal tissues to release inflammatory molecules such as histamine and the cytokine tumor necrosis factor-a (TNF-a), which cause similar effects.; 87: C5a also activates local mast cells (see Section 1-4), which are stimulated to release their granules containing the small inflammatory molecule histamine as well as TNF-a and cathelicidins.; 116: P-selectin appears on endothelial cell surfaces within a few minutes of exposure to leukotriene B4, C5a, or histamine, which is released from mast cells in response to C5a.; 463: Mast cells produce mediators such as histamine, TNF-a, and MMCP.; 614: Mast-cell degranulation begins within seconds of antigen binding, releasing an array of preformed and newly generated inflammatory mediators (Fig. 14.9). Granule contents include the short-lived vasoactive amine histamine, serine esterases, and proteases such as chymase and tryptase.; 614: Table Figure 14.9; 436: Mast cells are large cells containing distinctive cytoplasmic granules that contain a mixture of chemical mediators, including histamine, that act rapidly to make local blood vessels more permeable.; 439: When IgE bound to the surface of a mast cell is aggregated by binding to antigen, it triggers the release of histamine and many other mediators that increase the blood low to sites of infection; it thereby recruits antibodies and effector cells to these sites. Mast cells are found principally below epithelial surfaces of the skin and beneath the basement membrane of the digestive and respiratory tracts.; 612: Mast cells line external mucosal surfaces and serve to alert the immune system to local infection. Once activated, they induce inflammatory reactions by secreting pharmacological mediators such as histamine stored in preformed granules and by synthesizing prostaglandins, leukotrienes, and platelet-activating factor from the plasma membrane.; 620: In anaphylactic shock, a widespread increase in vascular permeability and smooth muscle contraction results from a massive release of histamine and other mast cell- and basophil-derived mediators such as leukotrienes.; 619: Activation of mast cells in the skin by allergen causes them to release histamine, which in turn causes itchy, red swellings all over the body—a disseminated version of the wheal-and-flare reaction.; 436-437: This signal activates the mast cell to release the contents of its granules, which occurs in seconds (Fig. 10.43), to synthesize and release lipid mediators such as prostaglandin D2 and leukotriene C4, and to secrete cytokines such as TNF-a, thereby initiating a local inflammatory response. Degranulation also releases stored histamine, which increases local blood flow and vascular permeability; this quickly leads to an accumulation of fluid and blood proteins, including antibodies, in the surrounding tissue.; 618-619: The immediate reaction is due to IgE-mediated mast-cell activation and starts within seconds of allergen exposure. It is the result of the actions of histamine, prostaglandins, and other preformed or rapidly synthesized mediators released by mast cells. These mediators cause a rapid increase in vascular permeability, resulting in visible edema and reddening of the skin (in a skin response) and airway narrowing as result of edema and the constriction of smooth muscle (in an airway response).","Mast (Secrete) Histamine","false","Secrete","Mast (Secrete) Histamine","",""
"Immunosuppression","Secrete","615: Increasingly, mast cells are also considered to have a role in immunoregulation. They can be stimulated by neuropeptides such as substance P and by TLR ligands. In response to multiple stimuli, they can secrete the immunosuppressive cytokine IL-10, suppressing T-cell responses.","Mast (Secrete) IL10","false","Secrete","Mast (Secrete) IL10","",""
"Type 2","Secrete","614: Table Figure 14.9","Mast (Secrete) IL13","false","Secrete","Mast (Secrete) IL13","",""
"","Secrete","812: Table Appendix III","Mast (Secrete) IL16","false","Secrete","Mast (Secrete) IL16","",""
"Type 2","Secrete","812: Table Appendix III","Mast (Secrete) IL25","false","Secrete","Mast (Secrete) IL25","",""
"","Secrete","614: Table Figure 14.9","Mast (Secrete) IL3","false","Secrete","Mast (Secrete) IL3","",""
"Antiparasitic, Type 2","Secrete","604: Immune defenses against multicellular parasites are found mainly at the sites of parasite entry, namely, under the skin and in the mucosal tissues of the airways and the gut. Cells of the innate and adaptive immune systems at these sites are specialized to secrete cytokines that promote a type 2 response to parasitic infection. In the presence of an invading parasite, dendritic cells taking up antigens in these tissues migrate to regional lymph nodes, where they tend to drive antigen-specific naive CD4 T cells to become effector TH2 cells. TH2 cells themselves secrete IL-4, IL-5, IL-9, and IL-13, thus maintaining an environment in which further differentiation of TH2 cells is favored. The cytokine IL-33, which can be produced by activated mast cells and by damaged or injured epithelial cells, also contributes to amplification of the TH2 response. IL-33 can act directly on TH2 cells via the IL-33 receptors that these cells express.; 614: Table Figure 14.9","Mast (Secrete) IL33","false","Secrete","Mast (Secrete) IL33","",""
"Antiparasitic, Allergic Inflammation, Inflammation, Type 2, Antibody production, Class switching","Secrete","376: Eosinophils, basophils, and mast cells are each attractive possibilities because they can produce abundant IL-4 when activated by chitin, a polysaccharide present in helminth parasites, as well as in insects and crustaceans, which induces TH2 responses.; 605: Figure 14.3; 612: The specific IgE produced in response to the allergen binds to the high-affinity receptor for IgE on mast cells and basophils. IgE production can be amplified by these cells because, upon activation, they produce IL-4 and express CD40 ligand.; 614: Table Figure 14.9; 615: MCT and MCCT mast cells, for example, produce the cytokine IL-4, which helps perpetuate type 2 immune responses.; 811: Table Appendix III","Mast (Secrete) IL4","false","Secrete","Mast (Secrete) IL4","",""
"Type 2","Secrete","614: Table Figure 14.9; 811: Table Appendix III","Mast (Secrete) IL5","false","Secrete","Mast (Secrete) IL5","",""
"Inflammation, Antiparasitic, Vascular permeability increase, Barrier immunity, Allergic Inflammation","Secrete","615: Following activation through FceRI, in addition to releasing preformed mediators such as histamine and serine proteases that are stored in their intracellular granules, mast cells also synthesize de novo and release chemokines, cytokines, and lipid mediators—prostaglandins,  leukotrienes, thromboxanes (collectively called eicosanoids), and platelet-activating factor.; 464: When activated by cytokines, or by the binding of worm antigens to receptor-bound IgE, mucosal mast cells release large amounts of preformed inflammatory mediators that are stored in secretory granules: prostaglandins, leukotrienes, and several proteases, including the mucosal mast cell protease (MMCP-1), which can degrade the epithelial tight junctions to increase permeability and fluid flow into the mucosal lumen.; 614: Table Figure 14.9; 612: Mast cells line external mucosal surfaces and serve to alert the immune system to local infection. Once activated, they induce inflammatory reactions by secreting pharmacological mediators such as histamine stored in preformed granules and by synthesizing prostaglandins, leukotrienes, and platelet-activating factor from the plasma membrane.; 620: In anaphylactic shock, a widespread increase in vascular permeability and smooth muscle contraction results from a massive release of histamine and other mast cell- and basophil-derived mediators such as leukotrienes.; 436-437: This signal activates the mast cell to release the contents of its granules, which occurs in seconds (Fig. 10.43), to synthesize and release lipid mediators such as prostaglandin D2 and leukotriene C4, and to secrete cytokines such as TNF-a, thereby initiating a local inflammatory response. Degranulation also releases stored histamine, which increases local blood flow and vascular permeability; this quickly leads to an accumulation of fluid and blood proteins, including antibodies, in the surrounding tissue.","Mast (Secrete) Leukotrienes","false","Secrete","Mast (Secrete) Leukotrienes","FceRI",""
"Antiparasitic, Type 2","Secrete","464: When activated by cytokines, or by the binding of worm antigens to receptor-bound IgE, mucosal mast cells release large amounts of preformed inflammatory mediators that are stored in secretory granules: prostaglandins, leukotrienes, and several proteases, including the mucosal mast cell protease (MMCP-1), which can degrade the epithelial tight junctions to increase permeability and fluid flow into the mucosal lumen.; 463: Mast cells produce mediators such as histamine, TNF-a, and MMCP.","Mast (Secrete) MMP","false","Secrete","Mast (Secrete) MMP","",""
"Inflammation, Allergic Inflammation","Secrete","615: Following activation through FceRI, in addition to releasing preformed mediators such as histamine and serine proteases that are stored in their intracellular granules, mast cells also synthesize de novo and release chemokines, cytokines, and lipid mediators—prostaglandins,  leukotrienes, thromboxanes (collectively called eicosanoids), and platelet-activating factor.; 614: Table Figure 14.9; 612: Mast cells line external mucosal surfaces and serve to alert the immune system to local infection. Once activated, they induce inflammatory reactions by secreting pharmacological mediators such as histamine stored in preformed granules and by synthesizing prostaglandins, leukotrienes, and platelet-activating factor from the plasma membrane.","Mast (Secrete) Platelet-Activating Factor","false","Secrete","Mast (Secrete) Platelet-Activating Factor","FceRI",""
"Inflammation, Antiparasitic, Vascular permeability increase, Barrier immunity, Allergic Inflammation, Type 2","Secrete","615: Following activation through FceRI, in addition to releasing preformed mediators such as histamine and serine proteases that are stored in their intracellular granules, mast cells also synthesize de novo and release chemokines, cytokines, and lipid mediators—prostaglandins,  leukotrienes, thromboxanes (collectively called eicosanoids), and platelet-activating factor.; 464: When activated by cytokines, or by the binding of worm antigens to receptor-bound IgE, mucosal mast cells release large amounts of preformed inflammatory mediators that are stored in secretory granules: prostaglandins, leukotrienes, and several proteases, including the mucosal mast cell protease (MMCP-1), which can degrade the epithelial tight junctions to increase permeability and fluid flow into the mucosal lumen.; 614: Table Figure 14.9; 612: Mast cells line external mucosal surfaces and serve to alert the immune system to local infection. Once activated, they induce inflammatory reactions by secreting pharmacological mediators such as histamine stored in preformed granules and by synthesizing prostaglandins, leukotrienes, and platelet-activating factor from the plasma membrane.; 436-437: This signal activates the mast cell to release the contents of its granules, which occurs in seconds (Fig. 10.43), to synthesize and release lipid mediators such as prostaglandin D2 and leukotriene C4, and to secrete cytokines such as TNF-a, thereby initiating a local inflammatory response. Degranulation also releases stored histamine, which increases local blood flow and vascular permeability; this quickly leads to an accumulation of fluid and blood proteins, including antibodies, in the surrounding tissue.; 463: CCR3 and CCR4 are expressed both by TH2 cells and by eosinophils and basophils, as is CRTH2, the ligand for which is prostaglandin D2, a lipid mediator that is produced by activated tissue mast cells.; 618-619: The immediate reaction is due to IgE-mediated mast-cell activation and starts within seconds of allergen exposure. It is the result of the actions of histamine, prostaglandins, and other preformed or rapidly synthesized mediators released by mast cells. These mediators cause a rapid increase in vascular permeability, resulting in visible edema and reddening of the skin (in a skin response) and airway narrowing as result of edema and the constriction of smooth muscle (in an airway response).","Mast (Secrete) Prostaglandins","false","Secrete","Mast (Secrete) Prostaglandins","FceRI",""
"Allergic Inflammation, Inflammation","Secrete","614: Mast-cell degranulation begins within seconds of antigen binding, releasing an array of preformed and newly generated inflammatory mediators (Fig. 14.9). Granule contents include the short-lived vasoactive amine histamine, serine esterases, and proteases such as chymase and tryptase.","Mast (Secrete) Serine esterases","false","Secrete","Mast (Secrete) Serine esterases","",""
"Inflammation","Secrete","615: Following activation through FceRI, in addition to releasing preformed mediators such as histamine and serine proteases that are stored in their intracellular granules, mast cells also synthesize de novo and release chemokines, cytokines, and lipid mediators—prostaglandins,  leukotrienes, thromboxanes (collectively called eicosanoids), and platelet-activating factor.","Mast (Secrete) Thromboxanes","false","Secrete","Mast (Secrete) Thromboxanes","FceRI",""
"Inflammation, Type 2, Antiparasitic","Secrete","65: In addition, C3a and C5a can activate the mast cells that populate submucosal tissues to release inflammatory molecules such as histamine and the cytokine tumor necrosis factor-a (TNF-a), which cause similar effects.; 87: C5a also activates local mast cells (see Section 1-4), which are stimulated to release their granules containing the small inflammatory molecule histamine as well as TNF-a and cathelicidins.; 463: Mast cells produce mediators such as histamine, TNF-a, and MMCP.; 614: Table Figure 14.9; 615: Large amounts of the cytokine tumor necrosis factor (TNF)-a are also released by mast cells after activation.; 436-437: This signal activates the mast cell to release the contents of its granules, which occurs in seconds (Fig. 10.43), to synthesize and release lipid mediators such as prostaglandin D2 and leukotriene C4, and to secrete cytokines such as TNF-a, thereby initiating a local inflammatory response. Degranulation also releases stored histamine, which increases local blood flow and vascular permeability; this quickly leads to an accumulation of fluid and blood proteins, including antibodies, in the surrounding tissue.","Mast (Secrete) TNFa","false","Secrete","Mast (Secrete) TNFa","",""
